"country","count","lon","lat","weight","Authorship"
"Canada",2,-98.31606295,61.37312602,0.0555555555555556,"Co-author"
"Sri Lanka",1,80.7035495,7.61573833,0.0277777777777778,"Co-author"
"Sweden",13,16.75289398,62.78917387,0.361111111111111,"Co-author"
"France",7,-2.77052452,42.17160095,0.194444444444444,"Co-author"
"Netherlands",14,5.21412054,52.06812055,0.388888888888889,"Co-author"
"Malaysia",4,109.69770226,3.79239687,0.111111111111111,"Co-author"
"China",2,103.82491043,36.56127654,0.0555555555555556,"Co-author"
"Ethiopia",6,39.60055108,8.62295174,0.166666666666667,"Co-author"
"South Africa",36,25.08773292,-29.00105188,1,"Co-author"
"USA",25,-112.49310668,45.68715961,0.694444444444444,"Co-author"
"Finland",3,26.27098883,64.49528534,0.0833333333333333,"Co-author"
"UK",25,-2.8864099,54.14678254,0.694444444444444,"Co-author"
"Zimbabwe",4,29.85188462,-19.00253671,0.111111111111111,"Co-author"
"Spain",6,-3.65680212,40.23690054,0.166666666666667,"Co-author"
"Australia",2,134.49257185,-25.73236473,0.0555555555555556,"Co-author"
"Cameroon",13,12.73708339,5.69312773,0.361111111111111,"Co-author"
"Central African Republic",1,20.46480872,6.56632137,0.0277777777777778,"Co-author"
"Belgium",1,4.64012138,50.63740613,0.0277777777777778,"Co-author"
"Tanzania",8,34.81314561,-6.27505027,0.222222222222222,"Co-author"
"Ghana",3,-1.21646616,7.95379716,0.0833333333333333,"Co-author"
"Germany",23,10.38154835,51.10621317,0.638888888888889,"Co-author"
"Austria",6,14.13067289,47.58565692,0.166666666666667,"Co-author"
"Denmark",5,10.05066968,55.96471679,0.138888888888889,"Co-author"
"Mali",4,-3.53907938,17.34416278,0.111111111111111,"Co-author"
"Niger",1,9.38603447,17.41846424,0.0277777777777778,"Co-author"
"DRC",2,23.64584865,-2.87959293,0.0555555555555556,"Co-author"
"Indonesia",5,117.2721054,-2.22083111,0.138888888888889,"Co-author"
"Kenya",10,37.79622573,0.59808146,0.277777777777778,"Co-author"
"Switzerland",3,8.2153826,46.79902293,0.0833333333333333,"Co-author"
"Argentina",1,-65.17821792,-35.38269629,0.0277777777777778,"Co-author"
"Brazil",4,-53.093972,-10.78278082,0.111111111111111,"Co-author"
"Dominican Republic",1,-70.49627229,18.89620449,0.0277777777777778,"Co-author"
"Norway",1,15.41245003,68.79639971,0.0277777777777778,"Co-author"
"Philippines",1,122.87471361,11.76338277,0.0277777777777778,"Co-author"
"Côte d’Ivoire",2,-5.56901056,7.62783904,0.0555555555555556,"Co-author"
"Bangladesh",1,90.24338951,23.84284613,0.0277777777777778,"Co-author"
"Malawi",3,34.2899078,-13.21722587,0.0833333333333333,"Co-author"
"Czech Republic",1,15.3141031,49.73244821,0.0277777777777778,"Co-author"
"Sudan",1,29.93938333,15.9867575,0.0277777777777778,"Co-author"
"Benin",1,2.32873763,9.64120833,0.0277777777777778,"Co-author"
"Italy",2,12.07213695,42.78624892,0.0555555555555556,"Co-author"
"Uganda",1,32.36703985,1.27569119,0.0277777777777778,"Co-author"
"Zambia",1,27.77421234,-13.46011002,0.0277777777777778,"Co-author"
"Japan",5,137.99253526,37.55590074,0.138888888888889,"Co-author"
"Namibia",1,17.21079623,-22.128669,0.0277777777777778,"Co-author"
"Mozambique",3,35.53752578,-17.27037614,0.0833333333333333,"Co-author"
"Portugal",1,-8.59208959,39.58567981,0.0277777777777778,"Co-author"
"Nigeria",1,8.09150439,9.59696812,0.0277777777777778,"Co-author"
"Sweden",4,16.75289398,62.78917387,0.111111111111111,"First author"
"France",2,-2.77052452,42.17160095,0.0555555555555556,"First author"
"USA",8,-112.49310668,45.68715961,0.222222222222222,"First author"
"Netherlands",5,5.21412054,52.06812055,0.138888888888889,"First author"
"Malaysia",1,109.69770226,3.79239687,0.0277777777777778,"First author"
"Ethiopia",1,39.60055108,8.62295174,0.0277777777777778,"First author"
"UK",6,-2.8864099,54.14678254,0.166666666666667,"First author"
"South Africa",9,25.08773292,-29.00105188,0.25,"First author"
"Zimbabwe",1,29.85188462,-19.00253671,0.0277777777777778,"First author"
"Cameroon",2,12.73708339,5.69312773,0.0555555555555556,"First author"
"Kenya",4,37.79622573,0.59808146,0.111111111111111,"First author"
"Ghana",1,-1.21646616,7.95379716,0.0277777777777778,"First author"
"Germany",8,10.38154835,51.10621317,0.222222222222222,"First author"
"Austria",2,14.13067289,47.58565692,0.0555555555555556,"First author"
"Spain",1,-3.65680212,40.23690054,0.0277777777777778,"First author"
"Indonesia",1,117.2721054,-2.22083111,0.0277777777777778,"First author"
"India",1,79.61221374,22.88736601,0.0277777777777778,"First author"
"Belgium",1,4.64012138,50.63740613,0.0277777777777778,"First author"
"Brazil",1,-53.093972,-10.78278082,0.0277777777777778,"First author"
"Czech Republic",1,15.3141031,49.73244821,0.0277777777777778,"First author"
"Côte d’Ivoire",1,-5.56901056,7.62783904,0.0277777777777778,"First author"
"Australia",2,134.49257185,-25.73236473,0.0555555555555556,"First author"
"Japan",1,137.99253526,37.55590074,0.0277777777777778,"First author"
